skill_overlap,missing_skills,bert_similarity,resume_len,jd_len,skill_density,resume_skills,jd_skills,match_score,resume_text,jd_text
2,7,0.035130441188812256,16,7,0.2222222222222222,"['angular', 'api', 'c', 'calculus', 'css', 'django', 'go', 'jquery', 'jwt', 'node.js', 'oauth', 'python', 'r', 'react', 'react native', 'ruby', 'ssl', 'typescript', 'vue', 'vue.js']","['azure', 'bdd', 'c', 'cloudflare', 'docker', 'etl', 'hive', 'next.js', 'r']",28.4,ssl angular css jquery typescript api calculus jwt django oauth ruby python vue.js react native node.js,azure etl hive bdd next.js docker cloudflare
2,8,0.23399841785430908,20,13,0.2,"['c', 'c++', 'cross validation', 'git', 'github', 'go', 'linux', 'mongodb', 'natural language processing', 'nlp', 'pandas', 'php', 'r', 'rest', 'spring', 'spring boot', 'sql', 'sql server', 'tensorflow', 'tls']","['amazon web services', 'big data', 'c', 'cv', 'encryption', 'jira', 'machine learning', 'opencv', 'r', 'react']",37.7,php git tensorflow spring boot pandas mongodb sql server linux natural language processing cross validation rest tls nlp c++ github,big data machine learning model serving opencv jira react amazon web services encryption
2,12,0.1592656522989273,10,13,0.14285714285714285,"['azure', 'backend', 'c', 'hive', 'linux', 'llm', 'matlab', 'penetration testing', 'r', 'unit testing']","['aws', 'c', 'cassandra', 'jira', 'jquery', 'mysql', 'postgresql', 'power bi', 'powerbi', 'r', 'redux', 'sql', 'tableau', 'time series']",27.6,azure unit testing penetration testing linux llm matlab hive backend,mysql postgresql time series power bi mysql aws tableau jquery redux cassandra jira
2,12,0.330434113740921,20,13,0.14285714285714285,"['c', 'computer vision', 'css', 'docker', 'git', 'gpt', 'hadoop', 'kubernetes', 'natural language processing', 'next.js', 'oop', 'r', 'react', 'react.js', 'reactjs', 'regression', 'unit testing']","['angular', 'big data', 'bootstrap', 'c', 'cv', 'etl', 'expo', 'express', 'hive', 'netlify', 'node.js', 'r', 'spring', 'spring boot']",40.8,gpt kubernetes react css react.js natural language processing next.js computer vision git unit testing hadoop docker data wrangling react regression,express expo bootstrap node.js big data angular hive c cv netlify spring boot
2,12,0.1988740861415863,7,13,0.14285714285714285,"['big data', 'c', 'databricks', 'oop', 'r', 'ruby', 'stable diffusion', 'unit testing']","['c', 'c++', 'cv', 'dart', 'git', 'github', 'graphql', 'kubernetes', 'ml', 'nlp', 'postman', 'r', 'ssl', 'tdd']",25.0,stable diffusion ruby unit testing databricks oop,github machine learning cv dart mlops kubernetes c++ ssl nlp graphql tdd postman
2,8,0.1885269284248352,15,11,0.2,"['azure', 'c', 'heroku', 'java', 'jupyter', 'kafka', 'macos', 'notion', 'oauth', 'postgresql', 'r', 'react', 'react.js', 'reactjs', 'redis', 'rest', 'sql', 'tensorflow', 'transformers']","['business intelligence', 'c', 'git', 'gitlab', 'jwt', 'ml', 'nlp', 'problem solving', 'r', 'ssl']",35.4,azure r tensorflow macos heroku java rest transformers kafka redis notion react.js oauth postgresql jupyter,full-stack c# business intelligence nlp ssl gitlab ml jwt problem solving
2,7,0.19392918050289154,14,9,0.2222222222222222,"['bootstrap', 'c', 'deep learning', 'gpt', 'kafka', 'linux', 'mysql', 'power bi', 'powerbi', 'r', 'react', 'react.js', 'reactjs', 'sql', 'unit testing', 'vue', 'vue.js']","['c', 'c++', 'exploratory data analysis', 'heroku', 'jira', 'nltk', 'python', 'r', 'tls']",36.4,unit testing deep learning mysql powerbi reactjs gpt bootstrap react.js react vue.js linux kafka,tls heroku jira python exploratory data analysis c++ nltk
4,7,0.23613287508487701,12,8,0.36363636363636365,"['api', 'c', 'c++', 'git', 'github', 'java', 'javascript', 'jwt', 'jwt auth', 'ml', 'powershell', 'python', 'pytorch', 'r', 'spark', 'torch', 'ubuntu']","['c', 'ci', 'design patterns', 'kafka', 'onnx', 'pytorch', 'r', 'scikit learn', 'scikit-learn', 'tensorflow', 'torch']",42.7,jwt auth javascript github c++ pytorch mlops api spark python powershell ubuntu,onnx design patterns kafka scikit learn pytorch tensorflow
3,14,0.20044371485710144,19,15,0.17647058823529413,"['api', 'big data', 'bootstrap', 'c', 'dl', 'expo', 'html', 'keras', 'large language model', 'mern', 'ml', 'mysql', 'r', 'react', 'react.js', 'reactjs', 'rest', 'rest api', 'sql', 'visualization']","['c', 'ci', 'cv', 'design patterns', 'etl', 'go', 'heroku', 'java', 'mern', 'mongodb', 'onnx', 'opencv', 'r', 'scikit learn', 'scikit-learn', 'statistics', 'swift']",35.3,dl data cleaning rest api react.js expo mern html mysql html visualization large language model big data bootstrap keras,mern problem solving opencv heroku etl mongodb java scikit learn onnx swift design patterns statistics
3,13,0.15707546472549438,11,10,0.1875,"['analytics', 'c', 'data analytics', 'expo', 'express', 'html', 'html5', 'jquery', 'ml', 'numpy', 'probability', 'python', 'r', 'sql', 'sql server']","['ai', 'c', 'ci', 'css', 'css3', 'gcp', 'integration testing', 'penetration testing', 'probability', 'r', 'react', 'react native', 'scikit learn', 'scikit-learn', 'tailwind', 'unit testing']",33.5,express sql server jquery numpy probability data analytics html5 pandas python,tailwind css3 probability react native gcp scikit learn penetration testing
3,6,0.40392860770225525,7,6,0.3333333333333333,"['c', 'docker', 'gcp', 'kafka', 'r', 'react', 'react native', 'sql', 'typescript']","['c', 'css', 'css3', 'flutter', 'node.js', 'postgresql', 'r', 'sql', 'sql server']",50.2,gcp typescript kafka docker react native sql,node.js postgresql sql server flutter css3
2,13,0.18869079649448395,9,12,0.13333333333333333,"['agile', 'c', 'cd', 'dl', 'go', 'jwt', 'jwt auth', 'kafka', 'mongodb', 'pandas', 'r', 'tensorflow']","['bash', 'c', 'c++', 'ci', 'cloudflare', 'data scientist', 'html', 'html5', 'keras', 'ml', 'next.js', 'owasp', 'probability', 'python', 'r']",28.4,mongodb pandas agile dl kafka tensorflow jwt auth cd,bash data scientist probability keras c cloudflare c++ python next.js owasp html
2,9,0.15813665091991425,9,8,0.18181818181818182,"['agile', 'azure', 'dart', 'go', 'html', 'html5', 'kotlin', 'ml', 'r']","['angular', 'azure', 'git', 'github', 'hive', 'matlab', 'python', 'r', 'sql', 'sqlite', 'tableau']",33.4,go dart agile problem solving azure kotlin agile html,python tableau angular matlab github hive azure sqlite
6,12,0.26096221804618835,15,19,0.3333333333333333,"['bitbucket', 'c', 'c++', 'computer vision', 'etl', 'frontend', 'go', 'hadoop', 'mongodb', 'netlify', 'node.js', 'nodejs', 'notion', 'oop', 'postgresql', 'postman', 'power bi', 'powerbi', 'problem solving', 'r', 'sql']","['ai', 'android', 'big data', 'c', 'ci', 'computer vision', 'data scientist', 'deep learning', 'langchain', 'neural networks', 'node.js', 'power bi', 'powerbi', 'python', 'r', 'rest', 'statistics', 'tailwind']",38.8,c++ bitbucket problem solving netlify mongodb powerbi notion frontend postman hadoop computer vision nodejs postgresql,statistics computer vision power bi data scientist rest python neural networks tailwind node.js android data wrangling langchain deep learning
4,13,0.3889516294002533,19,17,0.23529411764705882,"['ai', 'amazon web services', 'c', 'c++', 'cross validation', 'css', 'css3', 'etl', 'flask', 'hive', 'lightgbm', 'matplotlib', 'model evaluation', 'node.js', 'nodejs', 'r', 'tailwind']","['agile', 'amazon web services', 'c', 'c++', 'encryption', 'go', 'gpt', 'html', 'mern', 'ml', 'mongodb', 'neural networks', 'nlp', 'oop', 'project management', 'r', 'rest']",46.5,lightgbm c++ c flask hive cross validation amazon web services model evaluation matplotlib tailwind etl nodejs data analysis css,nlp mongodb rest gpt oop neural networks html amazon web services agile encryption project management mern c++
1,15,0.166041299700737,13,12,0.0625,"['agile', 'ai', 'airflow', 'api', 'dbt', 'jwt', 'kafka', 'node.js', 'nodejs', 'r', 'tensorflow', 'test driven development']","['angular', 'c', 'ci', 'django', 'go', 'nlp', 'numpy', 'r', 'redux', 'sass', 'scikit learn', 'scikit-learn', 'seaborn', 'ssl', 'tableau', 'xgboost']",30.2,api airflow jwt tensorflow test driven development agile nodejs unit testing dbt kafka,scikit learn redux seaborn xgboost ssl angular sass django nlp tableau numpy
2,4,0.2628094255924225,18,6,0.3333333333333333,"['bash', 'bert', 'dbt', 'etl', 'exploratory data analysis', 'html', 'integration testing', 'java', 'ml', 'postgresql', 'r', 'rest', 'sass', 'spring', 'spring boot', 'sql', 'windows']","['bert', 'c', 'c++', 'ci', 'feature engineering', 'r']",43.1,java html bash sass postgresql rest etl windows spring boot bert exploratory data analysis integration testing dbt rest,feature engineering c bert c++ ci
4,16,0.23984819650650024,14,13,0.2,"['api', 'c', 'ci', 'exploratory data analysis', 'git', 'java', 'javascript', 'json', 'linear algebra', 'nlp', 'onnx', 'r', 'zsh']","['api', 'c', 'django', 'express', 'git', 'gitlab', 'go', 'google cloud', 'html', 'jenkins', 'jquery', 'keras', 'ml', 'r', 'react', 'react.js', 'reactjs', 'rest', 'rest api', 'spark']",38.0,javascript nlp json zsh onnx ci linear algebra api java git exploratory data analysis,gitlab rest api html google cloud jenkins jquery spark keras reactjs express django
3,15,0.261651873588562,21,20,0.16666666666666666,"['amazon web services', 'api', 'business intelligence', 'c', 'collaboration', 'computer vision', 'etl', 'go', 'google cloud', 'gpt', 'netlify', 'numpy', 'r', 'rest', 'rest api', 'ruby', 'tdd', 'tensorflow', 'vue']","['analytics', 'bash', 'c', 'ci', 'cross validation', 'go', 'java', 'javascript', 'kubernetes', 'large language model', 'macos', 'oracle', 'pandas', 'r', 'redis', 'scikit learn', 'scikit-learn', 'swift']",38.1,rest api tdd tensorflow computer vision vue devops numpy netlify ruby gpt amazon web services collaboration google cloud go business intelligence,oracle javascript large language model scikit learn kubernetes full-stack cross validation bash data cleaning swift macos go redis analytics pandas
2,7,0.17298386991024017,13,6,0.2222222222222222,"['ansible', 'c', 'communication', 'cv', 'dbt', 'etl', 'jira', 'llm', 'natural language processing', 'netlify', 'opencv', 'r', 'transformers', 'typescript']","['aws', 'c', 'databricks', 'express', 'mysql', 'owasp', 'r', 'seaborn', 'sql']",35.3,ansible opencv netlify dbt natural language processing devops llm transformers typescript communication jira,owasp express seaborn databricks aws mysql
4,5,0.3439832329750061,11,7,0.4444444444444444,"['api', 'c', 'express', 'git', 'github', 'penetration testing', 'r', 'react', 'react.js', 'reactjs', 'spring', 'sql', 'sql server', 'tdd']","['c', 'cloudflare', 'git', 'html', 'html5', 'ml', 'r', 'react', 'tensor rt']",50.5,penetration testing tdd github reactjs sql server express react spring api,tensor rt git cloudflare r react html5
6,9,0.3548316955566406,19,11,0.4,"['bash', 'c', 'c++', 'cross validation', 'graphql', 'integration testing', 'neural networks', 'node.js', 'r', 'ruby', 'spark', 'spring', 'spring boot', 'tableau', 'torch', 'trello']","['aws', 'c', 'c++', 'etl', 'git', 'netlify', 'php', 'postgresql', 'pytorch', 'r', 'spring', 'spring boot', 'sql', 'sql server', 'torch']",49.7,torch data analysis cross validation spring boot neural networks graphql integration testing trello bash ruby c++ node.js spark tableau,php c++ sql server pytorch aws git netlify spring boot postgresql
6,10,0.30505824089050293,16,10,0.375,"['ai', 'bash', 'c', 'git', 'huggingface', 'java', 'javascript', 'next.js', 'pandas', 'pytorch', 'r', 'sql', 'tableau', 'tailwind', 'torch', 'vscode']","['c', 'colab', 'cv', 'expo', 'figma', 'git', 'gitlab', 'go', 'huggingface', 'java', 'javascript', 'mongodb', 'opencv', 'r', 'trello', 'windows']",46.5,git problem solving tailwind huggingface javascript pandas bash tableau ai vscode next.js sql data wrangling pytorch,expo gitlab colab opencv huggingface mongodb trello windows figma javascript
4,11,0.26019731163978577,15,13,0.26666666666666666,"['api', 'bash', 'bert', 'c', 'ci', 'cv', 'data scientist', 'git', 'go', 'jquery', 'kafka', 'mongodb', 'opencv', 'postgresql', 'r', 'sql', 'ssl', 'unit testing', 'visualization']","['analytics', 'c', 'ci', 'css', 'docker', 'flask', 'graphql', 'jquery', 'node.js', 'problem solving', 'pytorch', 'r', 'spring', 'torch', 'windows']",41.0,git bash ssl kafka data scientist opencv jquery mongodb visualization postgresql bert api unit testing,problem solving css pytorch spring jquery docker windows ci node.js graphql flask analytics
2,8,0.04886683449149132,12,7,0.2,"['ai', 'airflow', 'analytics', 'c', 'ci', 'hadoop', 'huggingface', 'linux', 'llm', 'matplotlib', 'oop', 'r', 'scikit learn', 'scikit-learn', 'tensorflow', 'typescript']","['c', 'c++', 'cd', 'figma', 'java', 'kotlin', 'ml', 'r', 'vercel', 'xml']",28.4,ci matplotlib airflow analytics hadoop linux huggingface llm scikit learn tensorflow typescript,xml vercel java c++ cd kotlin figma
3,18,0.13638685643672943,6,15,0.14285714285714285,"['bert', 'c', 'dart', 'go', 'r', 'react', 'react.js', 'reactjs', 'sql']","['c', 'collaboration', 'css', 'devops', 'django', 'eda', 'etl', 'gcp', 'go', 'html', 'java', 'javascript', 'ml', 'nlp', 'notion', 'power bi', 'powerbi', 'r', 'redis', 'seaborn', 'xgboost']",19.1,bert sql r dart react.js go,collaboration gcp css django redis etl seaborn html notion powerbi nlp xgboost eda javascript devops
3,12,0.08851238340139389,12,12,0.2,"['c', 'c++', 'ci', 'computer vision', 'cv', 'data scientist', 'linux', 'penetration testing', 'r', 'tls', 'unit testing']","['c', 'cd', 'ci', 'css', 'css3', 'django', 'git', 'go', 'hive', 'json', 'ml', 'oauth', 'r', 'sklearn', 'slack']",30.4,c++ cv data scientist penetration testing computer vision linux unit testing tls,css slack ci/cd hive ml git json django data wrangling sklearn oauth
1,8,0.15685974061489105,17,10,0.1111111111111111,"['angular', 'c', 'ci', 'computer vision', 'git', 'integration testing', 'java', 'javascript', 'oauth', 'pytorch', 'r', 'regression', 'scikit learn', 'scikit-learn', 'tableau', 'torch', 'windows']","['express', 'matlab', 'mysql', 'owasp', 'python', 'r', 'ruby', 'spark', 'sql']",31.2,regression c# pytorch oauth angular windows integration testing computer vision git data pipeline javascript scikit learn tableau,owasp spark ruby mysql python spark data wrangling express matlab
2,10,0.1397513598203659,9,12,0.16666666666666666,"['c', 'design patterns', 'etl', 'macos', 'postman', 'r', 'react', 'react native', 'ubuntu']","['bdd', 'c', 'c++', 'calculus', 'deep learning', 'expo', 'express', 'matlab', 'mysql', 'r', 'rest', 'sql']",27.0,react native ubuntu etl design patterns postman macos r,express c++ problem solving rest calculus bdd c++ deep learning mysql matlab
3,13,0.24262553453445435,11,15,0.1875,"['c', 'design patterns', 'dl', 'express', 'flutter', 'jupyter', 'linear algebra', 'notion', 'r', 'react', 'react.js', 'reactjs', 'tensorflow']","['api', 'c', 'git', 'mariadb', 'mysql', 'neural networks', 'notion', 'numpy', 'owasp', 'r', 'rest', 'rest api', 'ruby', 'slack', 'sql', 'typescript']",32.4,notion flutter jupyter express dl linear algebra react.js design patterns tensorflow,ruby notion numpy neural networks owasp machine learning rest api mariadb slack git mysql typescript
4,18,0.3433089554309845,11,19,0.18181818181818182,"['c', 'cd', 'colab', 'eda', 'etl', 'flask', 'gensim', 'gpt', 'r']","['analytics', 'big data', 'c', 'cd', 'ci', 'data analytics', 'data engineering', 'data visualization', 'etl', 'keras', 'model deployment', 'mysql', 'netlify', 'r', 'react', 'react.js', 'reactjs', 'scikit learn', 'scikit-learn', 'snowflake', 'sql', 'visualization']",34.2,gpt colab machine learning cd flask etl gensim etl c eda,model deployment cd react.js data visualization snowflake netlify r data engineering scikit learn mysql big data data analytics keras
3,18,0.2718895673751831,7,16,0.14285714285714285,"['c', 'ios', 'kubernetes', 'penetration testing', 'r', 'react', 'xgboost']","['ai', 'api', 'c', 'cd', 'ci', 'cloudflare', 'exploratory data analysis', 'git', 'hive', 'probability', 'r', 'react', 'react.js', 'reactjs', 'rest', 'rest api', 'spacy', 'tailwind', 'terraform', 'tls', 'vscode']",26.6,xgboost r ios kubernetes penetration testing react,rest api react.js ci/cd tailwind tls exploratory data analysis probability hive terraform spacy cloudflare vscode git
3,14,0.2570050060749054,8,14,0.17647058823529413,"['c', 'figma', 'html', 'html5', 'ml', 'model evaluation', 'r', 'scrum', 'time series', 'zsh']","['analytics', 'bert', 'c', 'c++', 'data analytics', 'figma', 'flask', 'flutter', 'java', 'jenkins', 'jquery', 'linux', 'mysql', 'postgresql', 'r', 'sql', 'tdd']",29.6,scrum figma html5 model evaluation time series zsh,figma java c++ mysql jquery jenkins data analytics bert flutter flask tdd postgresql linux
1,14,0.17446543276309967,7,16,0.06666666666666667,"['big data', 'c', 'calculus', 'dl', 'etl', 'jwt', 'jwt auth']","['bash', 'c', 'expo', 'html', 'html5', 'keras', 'ml', 'natural language processing', 'openvino', 'postgresql', 'r', 'react', 'reactjs', 'sql', 'tensor rt']",19.5,etl dl calculus jwt auth big data,tensor rt postgresql ml openvino expo keras bash html5 data analysis react sass natural language processing
6,14,0.43808165192604065,17,18,0.3,"['android', 'c', 'css', 'css3', 'cv', 'jwt', 'keras', 'neural networks', 'next.js', 'node.js', 'opencv', 'r', 'react', 'react.js', 'reactjs', 'scrum', 'spacy', 'time series', 'vue']","['c', 'cd', 'computer vision', 'css', 'css3', 'django', 'eda', 'feature engineering', 'go', 'mern', 'openvino', 'r', 'react', 'react native', 'spark', 'sql', 'sql server', 'vscode', 'vue', 'vue.js']",49.8,react next.js r opencv vue spacy keras time series neural networks jwt scrum react.js android node.js css3,vscode vue.js mern sql css3 react native spark cd django computer vision openvino feature engineering sql server eda
4,11,0.4413052201271057,15,13,0.26666666666666666,"['c', 'ci', 'communication', 'databricks', 'html', 'kafka', 'linux', 'ml', 'node.js', 'nodejs', 'powershell', 'r', 'tdd', 'ubuntu']","['c', 'ci', 'hadoop', 'kafka', 'large language model', 'lightgbm', 'mysql', 'nlp', 'numpy', 'oop', 'power bi', 'powerbi', 'r', 'sql', 'typescript']",50.1,kafka powershell communication data science ci html databricks linux tdd nodejs databricks machine learning ubuntu,mysql power bi large language model kafka numpy scikit-learn hadoop typescript lightgbm nlp
5,4,0.3044453263282776,15,7,0.5555555555555556,"['agile', 'api', 'bitbucket', 'c', 'computer vision', 'css', 'databricks', 'eda', 'html', 'html5', 'jquery', 'ml', 'mysql', 'numpy', 'r', 'scrum', 'sql']","['bootstrap', 'c', 'ci', 'devops', 'kafka', 'ml', 'mysql', 'r', 'sql']",51.9,agile scrum html5 css html numpy computer vision api r mysql eda jquery databricks bitbucket,bootstrap kafka ci devops bootstrap ml mysql
2,7,0.1610657423734665,12,9,0.2222222222222222,"['amazon web services', 'c', 'cd', 'collaboration', 'deep learning', 'flask', 'git', 'github', 'pandas', 'r', 'rest', 'sklearn']","['backend', 'c', 'css', 'css3', 'integration testing', 'kafka', 'r', 'react', 'react native']",34.7,deep learning rest github flask collaboration amazon web services cd sklearn pandas,react native kafka backend integration testing css redis css3
3,13,0.3137332797050476,21,13,0.1875,"['ansible', 'backend', 'bert', 'c', 'c++', 'data visualization', 'elasticsearch', 'gensim', 'natural language processing', 'nlp', 'r', 'sql', 'stable diffusion', 'terraform', 'test driven development', 'visualization', 'windows']","['angular', 'c', 'feature engineering', 'java', 'javascript', 'nltk', 'node.js', 'php', 'power bi', 'powerbi', 'r', 'redux', 'rest', 'sql', 'tensorflow', 'trello']",41.3,sql c++ windows ansible elasticsearch machine learning test driven development backend gensim stable diffusion nlp bert natural language processing terraform visualization,angular node.js javascript trello redux nltk tensorflow rest php powerbi feature engineering sql
